Repository,CommitID,Message,Date
Crime-Data-Analysis,92668a8eb91258e5dd472adfce15377ff2d965a9,Delete repeating files,2024-05-11 18:14:08+00:00
Crime-Data-Analysis,c4679b2808ca274cc29008a8c8b266fe0520b7e9,Delete repeating files,2024-05-11 18:13:49+00:00
Crime-Data-Analysis,925164736f429e31ed63ef8ed8aac659b197dbca,Delete repeating files,2024-05-11 18:13:36+00:00
Crime-Data-Analysis,cb0a09b064873cae5d50f78d590a1db431ae1658,Delete repeating files,2024-05-11 18:13:21+00:00
Crime-Data-Analysis,7528af699af6f5163ece87d1f8278915bbcb9262,Delete property_stolen_and_found.csv,2024-05-11 18:12:55+00:00
Crime-Data-Analysis,26b9fd67d005d2728abbbd27e3f5d94232fe17ac,uploading datasets,2024-05-11 18:12:15+00:00
Crime-Data-Analysis,60ff2ddb3e97dadf4b4fc6aa4570b6e383881796,Create models folder,2024-05-11 18:09:16+00:00
Crime-Data-Analysis,a41e4c602333cda8af220c1b0d90272991e0aa80,Create datasets folder,2024-05-11 18:08:38+00:00
Crime-Data-Analysis,af25be90dd68a9ede3b26ebe6564f453e6fb2a72,Update README.md,2024-05-11 18:08:05+00:00
Iris-Data-Classification-Analysis-using-SPSS,2303b42338c76bd5ffd21690adb6a947f57c5c4d,Update README.md,2024-05-11 18:06:47+00:00
Predicting-ODI-World-Cup-2023-Champions,ed0dbf36561c6de87d1f6395bf88090d57d7e10d,adding datasets for final prediction,2024-05-11 18:03:56+00:00
Predicting-ODI-World-Cup-2023-Champions,1b4cbfc359e0a86df5303b8450f319c297f36aa5,adding final model,2024-05-06 15:32:07+00:00
Predicting-ODI-World-Cup-2023-Champions,457d3c76524f7ee43374e26f3c19ff076c5a3634,uploading datasets,2024-05-06 15:27:40+00:00
Iris-Data-Classification-Analysis-using-SPSS,8fa6261e76ebb2efb32c53c615e259f68e9ef5b8,evaluating using metrics,2024-05-06 15:10:08+00:00
Crime-Data-Analysis,ed3e1a8e876ff2a8e646dfcbb77b6c9c1c938a1a,uploading dataset,2024-05-06 14:48:50+00:00
Stock-Market-Prediction-app,93eee18a2344f093d20c51f091b5434c78d806f7,Update models,2024-05-01 20:40:36+00:00
Stock-Market-Prediction-app,116a0f431ea0be766608f9c9b67a2682fdc59ad7,update helpers.py,2024-05-01 20:39:26+00:00
Stock-Market-Prediction-app,fcc7d7bcf008ddac8511bad82906c05ba6b8d35d,Delete helpers.py,2024-05-01 20:39:01+00:00
Stock-Market-Prediction-app,f8a16b4c2de519a472f9ef5bd79ee0d00e1bfeb0,Delete utils,2024-05-01 20:38:33+00:00
Stock-Market-Prediction-app,f28637ab70d0cf51e16e2dd5b30625614a85dfa5,Add files via upload,2024-05-01 20:37:59+00:00
